cus_id,firstName,lastName,age,iban,credit_card_number,credit_card_security_code,credit_card_start_date,credit_card_end_date,address_main,address_city,address_postcode,others
NicholasSpencer71,Nicholas,Spencer,71,GB43YKET96816855547287,2221597849919620,646,03/18,06/26,462 Marilyn radial,Lynneton,W4 0GW
GregoryKnowles91,Gregory,Knowles,91,GB53QKRK45175204753504,4050437758955103343,827,11/21,01/27,366 Brenda radial,Ritafurt,NE85 1RG
JaneKirk43,Jane,Kirk,43,GB89YUVB38793083550207,180042313303517,736,03/18,09/23,Studio 3 Robin viaduct,New Patrickborough,DE9 0PE
ReeceWilson20,Reece,Wilson,20,GB95SWFW76559273696664,376608579872611,136,03/18,06/28,Flat 44 Holt mountains,Lake Debra,N8 7UE,"{'amount': '15720.55', 'time_period_years': 4}"
JeffreyHoward53,Jeffrey,Howard,53,GB30BONM86467522928720,3577140169412773,042,04/16,09/23,987 Lambert club,Lloydburgh,OX46 5RB
SusanDavies68,Susan,Davies,68,GB31DWEB00784418470773,567114835570,782,01/22,08/26,38 Webster landing,South Scottborough,CO80 5ZZ
JodieRobinson77,Jodie,Robinson,77,GB43ZNIB14917027867786,676202388168,966,09/16,01/30,43 Hill shore,North Angelaside,W1D 4TR
HowardFaulkner40,Howard,Faulkner,40,GB48YQIO39664952051753,4119620211132845,785,08/22,11/26,9 Hugh ports,North Kenneth,SK20 1HE,"{'amount': '16741.78', 'time_period_years': 4}"
JaniceCarey47,Janice,Carey,47,GB07PZWC44366895968740,213133779230962,713,04/15,03/23,6 Lucy mountains,Lewismouth,L76 2RS
MariaDavies44,Maria,Davies,44,GB56UPWO80411072124599,343043496958030,082,07/20,01/21,51 George glens,South Robinton,B1 4UP
RosieBarrett33,Rosie,Barrett,33,GB79BMEQ32245667613237,4621673230586500,614,02/19,10/28,Flat 19 Pearce ramp,Port Sara,G48 0GA,"{'amount': '655.27', 'time_period_years': 2}"
ScottSanderson81,Scott,Sanderson,81,GB08BBOK24576487336628,372550372014260,293,04/21,11/30,Flat 03 Emma plains,Port Janettown,S5J 3HH,9970.07
BethanyWhite84,Bethany,White,84,GB14FKGG17760126701689,30275035561051,6363,03/21,09/23,94 Ferguson garden,Fostermouth,G50 5GN
StewartCrawford25,Stewart,Crawford,25,GB92YNZK39946083870137,3579824934425339,147,04/18,08/31,9 Reid causeway,South Barryfort,TN84 7BX
